
Aisles of wonder, rows of delight
Fresh produce beckons, shoppers take flight
Carts filled with goodies, baskets overflow
The supermarket's treasures, for all to know

Meats and cheeses, a savory sight
Bread and bakery, a tempting plight
Fruits and veggies, a colorful delight
The supermarket's feast, a true delight

Canned and packaged, aisles of ease
Snacks and sweets, a tasty tease
Drinks and juices, a refreshing find
The supermarket's bounty, for all to mind

Checkout lines, a waiting game with grace
Shoppers eager, their prizes to embrace
The supermarket's treasures, now in hand with glee
A satisfied crowd, a happy family.
